LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
AUS,HEALTHEXP,TOT,USD_CAP,A,2019,4919.24
CAN,HEALTHEXP,TOT,USD_CAP,A,2019,5370.442
FRA,HEALTHEXP,TOT,USD_CAP,A,2020,5564.075
DEU,HEALTHEXP,TOT,USD_CAP,A,2020,6730.942
ITA,HEALTHEXP,TOT,USD_CAP,A,2020,3819.39
JPN,HEALTHEXP,TOT,USD_CAP,A,2019,4691.462
KOR,HEALTHEXP,TOT,USD_CAP,A,2020,3493.695
MEX,HEALTHEXP,TOT,USD_CAP,A,2020,1197.652
TUR,HEALTHEXP,TOT,USD_CAP,A,2019,1266.935
GBR,HEALTHEXP,TOT,USD_CAP,A,2020,5267.705
USA,HEALTHEXP,TOT,USD_CAP,A,2019,10948.475
BRA,HEALTHEXP,TOT,USD_CAP,A,2019,1513.891
CHN,HEALTHEXP,TOT,USD_CAP,A,2018,810.845
IND,HEALTHEXP,TOT,USD_CAP,A,2018,257.403
IDN,HEALTHEXP,TOT,USD_CAP,A,2018,336.726
RUS,HEALTHEXP,TOT,USD_CAP,A,2019,1850.261
ZAF,HEALTHEXP,TOT,USD_CAP,A,2018,1103.532
